id,kind,title,statement,origin,author_status,sources,direct_dependents
D1,derived,Capability Release Compact,"A domestic compact governs transitions from bounded research into public, commercial, military, governmental, or other consequential use.",author-and-ai-synthesis,accepted,SRC-PLAN-A-BARGAINING,""
D2,derived,Rival laboratories provide the technical attack surface,Qualified competitors receive controlled access sufficient to attack a frontier applicant's case; the government adjudicates and competitors do not hold a veto.,author,accepted,SRC-TOBY-ORD;SRC-PAUSEAI;SRC-PLAN-A-BARGAINING,D3;I3
D3,derived,Safety becomes part of the profit function,"Because above-frontier monetization depends on passing hostile review, controllability becomes a production input rather than only a cost.",author-interjection-and-ai-formalization,accepted,SRC-PLAN-A-BARGAINING,""
D4,derived,Compute stock and compute entanglement differ,Reversibility depends on both the quantity of strategic hardware and the degree to which civilian society depends on its continued operation.,author-synthesis,accepted,SRC-DAVIDSON;SRC-PLAN-A-BARGAINING,I4
D5,derived,Unauthorized agency can be made epistemically valuable,Predefined boundaries around external agency create high-value warning signals when systems cross them without legitimate authorization.,author-interjection-and-ai-formalization,accepted-after-wording-correction,SRC-HUGGING-FACE;SRC-PLAN-A-BARGAINING,I1;I2
D6,derived,International cooperation can deepen in stages,"Cooperation progresses from tacit public-frontier reciprocity to narrow abstention, incident exchange, reciprocal review, hardware declarations, activation rules, and only later treaty-level restraints.",author-and-ai-synthesis,accepted,SRC-NGO;SRC-PLAN-A-BARGAINING,I6
H1,hypothesis,A/H/P separability remains actionable,There is a policy-relevant interval in which algorithmic progress does not automatically create uncontainable access to hardware and external power.,author-hypothesis,accepted-as-hypothesis,SRC-AI-BREAKOUT;SRC-HUGGING-FACE;SRC-PLAN-A-BARGAINING,K1;K2;K3
H2,hypothesis,Rival review has positive safety value after proliferation costs,"Controlled competitor access reduces undetected risk and concentration more than it increases leakage, proliferation, collusion, and aggregate acceleration.",author-hypothesis,accepted-as-hypothesis,SRC-TOBY-ORD;SRC-PLAN-A-BARGAINING,D2;D3
H3,hypothesis,The foreign public frontier is measurable enough to govern,Practical foreign capability can be observed across domains with sufficient reliability to serve as one input to domestic safe-harbor decisions.,author-hypothesis,accepted-as-hypothesis,SRC-TOBY-ORD;SRC-PLAN-A-BARGAINING,K6
H4,hypothesis,Physical activation latency can preserve reversibility,Declared reserve hardware can be stored so covert activation takes longer than independent detection and effective response.,author-hypothesis,accepted-as-hypothesis,SRC-DAVIDSON;SRC-PLAN-A-BARGAINING,D4
H5,hypothesis,Domestic benefits can sustain the institution,"Predictable release rules, competition, taxation, safer deployment, and protection against foreign release can create a durable domestic constituency.",author-hypothesis,accepted-as-hypothesis,SRC-PRODUCTIVITY-DEFLATION;SRC-NGO;SRC-PLAN-A-BARGAINING,K5
I1,implementation,Architecture-neutral unauthorized-agency boundary,Define prohibited external agency by observable actions rather than model architecture or legal labels.,author,accepted,SRC-PAUSEAI;SRC-HUGGING-FACE,""
I2,implementation,"Surveil, preserve, and report","Require affirmative surveillance, automatic evidence preservation, prompt reporting on reasonable suspicion, a reporting safe harbor, and severe penalties for concealment.",author-medical-device-analogy,accepted,SRC-PLAN-A-BARGAINING,""
I3,implementation,Weights-as-bond review process,The applicant stakes controlled technical access to its candidate system as the price of seeking above-frontier release.,author-and-ai-synthesis,accepted,SRC-TOBY-ORD;SRC-PLAN-A-BARGAINING,""
I4,implementation,Observable uncommissioned hardware reserve,"Store reserve accelerators uninstalled, unracked, unnetworked, and detached from dedicated power and cooling, subject to independent observation.",author,accepted,SRC-DAVIDSON;SRC-PLAN-A-BARGAINING,""
I5,implementation,Separate gate for the AI industrial survival chain,"Scrutinize automation that removes independently controlled human dependencies over compute, power, fabrication, repair, logistics, and reproduction.",author,accepted,SRC-AI-BREAKOUT;SRC-TOBY-ORD;SRC-PLAN-A-BARGAINING,""
I6,implementation,Seven-stage international ladder,"Implement public reciprocity, capability abstention, incident exchange, reciprocal review, hardware declarations, activation controls, and treaty restraint in that order.",author-and-ai-synthesis,accepted,SRC-NGO;SRC-PLAN-A-BARGAINING,""
I7,implementation,Licensed compute deployment and data-center taxation,Use deployment licensing as an administrative and potentially populist tax base for large data centers.,author,accepted-as-option,SRC-PLAN-A-BARGAINING,""
K1,kernel,"Separate capability, substrate, and power","Algorithmic capability (A), strategic hardware (H), and power-conversion affordances (P) are related but distinct variables and should not be governed as though they always change together.",author-synthesis,accepted,SRC-AI-BREAKOUT;SRC-TOBY-ORD;SRC-PLAN-A-BARGAINING,D4
K2,kernel,Pace conversion into irreversible power,"The objective is to slow and condition the conversion of frontier intelligence into irreversible economic, political, military, and physical power, not to freeze intelligence as such.",author-synthesis,accepted,SRC-AI-BREAKOUT;SRC-TOBY-ORD;SRC-PLAN-A-BARGAINING,D1;D4
K3,kernel,Govern bounded research and consequential use differently,"Research inside genuinely bounded environments may proceed under a different regime from public, commercial, military, governmental, or otherwise power-conferring use.",author,accepted-after-revision,SRC-TOBY-ORD;SRC-PAUSEAI;SRC-HUGGING-FACE,D1;D5
K4,kernel,Require adversarial assurance above the public frontier,Consequential use that materially exceeds the observable foreign public capability frontier requires an adversarial control and safety case.,author,accepted,SRC-TOBY-ORD;SRC-PAUSEAI;SRC-PLAN-A-BARGAINING,D1;D2;D3
K5,kernel,Start domestically and remain internationally extensible,The regime should begin as a domestically justified institution that can operate without foreign agreement and later admit deeper reciprocal cooperation.,author-synthesis,accepted,SRC-TOBY-ORD;SRC-NGO;SRC-PLAN-A-BARGAINING,D1;D6
K6,kernel,Make foreign public capability an automatic reciprocity input,Observable foreign public capability should alter the domestic safe-harbor frontier so that foreign restraint can be reciprocated without a treaty and foreign release cannot exploit unilateral domestic restraint indefinitely.,author-synthesis,accepted,SRC-TOBY-ORD;SRC-PLAN-A-BARGAINING,D1;D6
K7,kernel,Maximize warning time,Governance should maximize the interval between credible detection of a dangerous transition and the point at which humans can no longer respond effectively.,author-and-ai-synthesis,accepted,SRC-AI-BREAKOUT;SRC-HUGGING-FACE;SRC-PLAN-A-BARGAINING,D4;D5;I5
Q1,open_question,How should practical public capability be measured?,"Define domain, reliability, autonomy, cost, scaffolding, accessibility, and deployment conditions for frontier equivalence.",author-and-ai,unresolved,SRC-TOBY-ORD;SRC-PLAN-A-BARGAINING,""
Q2,open_question,What access makes adversarial review credible without unacceptable leakage?,"Determine the minimum reproducible access, security, and adjudication protocol.",author-and-ai,unresolved,SRC-PLAN-A-BARGAINING,""
Q3,open_question,How many independent human vetoes are enough?,"Determine when energy, compute, fabrication, repair, logistics, and governance dependencies are genuinely independent.",author,unresolved,SRC-AI-BREAKOUT;SRC-PLAN-A-BARGAINING,""
Q4,open_question,When does capability itself collapse A/H/P separability?,Identify architectures or behaviors that make power boundaries infeasible before formal review.,author-and-ai,unresolved,SRC-HUGGING-FACE;SRC-PLAN-A-BARGAINING,""
